targetx,targety,targetz,,collx,colly,collz,,targetxrel,targetyrel,targetzrel,,collxrel,collyrel,collzrel,,
-0.9045085,-0.01703721,-2.374557,,-0.7362329,0.1399765,-2.843427,,-0.1045085,-0.01703721,0.525443,,0.0637671,0.1399765,0.056573,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7057393,-0.007596254,-2.728578,,-0.7098439,-0.01025033,-2.740729,,0.0942607,-0.007596254,0.171422,,0.0901561,-0.01025033,0.159271,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8251919,-0.03015381,-2.893689,,-0.8304127,-0.01599121,-2.889702,,-0.0251919,-0.03015381,0.006311,,-0.0304127,-0.01599121,0.010298,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6423799,-0.03015381,-2.983248,,-0.6438355,-0.02166843,-2.969257,,0.1576201,-0.03015381,-0.083248,,0.1561645,-0.02166843,-0.069257,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6777281,-0.01703721,-3.005436,,-0.6786004,-0.01962137,-2.990079,,0.1222719,-0.01703721,-0.105436,,0.1213996,-0.01962137,-0.090079,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6466489,-0.03015381,-2.772652,,-0.6437675,-0.0163722,-2.768041,,0.1533511,-0.03015381,0.127348,,0.1562325,-0.0163722,0.131959,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9106969,-0.007596254,-2.909104,,-0.9135439,-0.02096868,-2.909775,,-0.1106969,-0.007596254,-0.009104,,-0.1135439,-0.02096868,-0.009775,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7079068,-0.01703721,-2.926645,,-0.7147971,-0.01165366,-2.91366,,0.0920932,-0.01703721,-0.026645,,0.0852029,-0.01165366,-0.01366,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8476666,-0.01703721,-2.935675,,-0.8413339,-0.02638841,-2.932282,,-0.0476666,-0.01703721,-0.035675,,-0.0413339,-0.02638841,-0.032282,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8682215,-0.007596254,-2.903486,,-0.8612463,-0.01971579,-2.898875,,-0.0682215,-0.007596254,-0.003486,,-0.0612463,-0.01971579,0.001125,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7880612,-0.01703721,-2.772898,,-0.7824433,-0.01566625,-2.777297,,0.0119388,-0.01703721,0.127102,,0.0175567,-0.01566625,0.122703,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8107541,-0.01703721,-2.73675,,-0.8123353,-0.004392147,-2.73476,,-0.0107541,-0.01703721,0.16325,,-0.0123353,-0.004392147,0.16524,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.875,-0.03015381,-2.817599,,-0.8715501,-0.02968526,-2.814349,,-0.075,-0.03015381,0.082401,,-0.0715501,-0.02968526,0.085651,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6593785,-0.01703721,-2.706151,,-0.6720891,-0.009781599,-2.70477,,0.1406215,-0.01703721,0.193849,,0.1279109,-0.009781599,0.19523,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6276409,-0.03015381,-2.809156,,-0.6317767,-0.01629424,-2.806456,,0.1723591,-0.03015381,0.090844,,0.1682233,-0.01629424,0.093544,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6249312,-0.03015381,-2.734776,,-0.635767,-0.02579975,-2.724159,,0.1750688,-0.03015381,0.165224,,0.164233,-0.02579975,0.175841,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8900833,-0.03015381,-2.753426,,-0.8802877,-0.02930403,-2.757744,,-0.0900833,-0.03015381,0.146574,,-0.0802877,-0.02930403,0.142256,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9037029,-0.03015381,-2.926552,,-0.901286,-0.02833152,-2.912036,,-0.1037029,-0.03015381,-0.026552,,-0.101286,-0.02833152,-0.012036,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7708409,-0.01703721,-2.68199,,-0.759661,-0.01194096,-2.68591,,0.0291591,-0.01703721,0.21801,,0.040339,-0.01194096,0.21409,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6617429,-0.01703721,-2.757179,,-0.6718323,-0.01572537,-2.760857,,0.1382571,-0.01703721,0.142821,,0.1281677,-0.01572537,0.139143,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6229681,-0.007596254,-2.827215,,-0.6295447,-0.01743197,-2.816307,,0.1770319,-0.007596254,0.072785,,0.1704553,-0.01743197,0.083693,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.684473,-0.01703721,-2.795033,,-0.6905077,-0.002425671,-2.792616,,0.115527,-0.01703721,0.104967,,0.1094923,-0.002425671,0.107384,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8755655,-0.007596254,-2.883382,,-0.8671771,-0.004328251,-2.864836,,-0.0755655,-0.007596254,0.016618,,-0.0671771,-0.004328251,0.035164,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8184183,-0.007596254,-2.798692,,-0.8138666,-0.01017046,-2.806739,,-0.0184183,-0.007596254,0.101308,,-0.0138666,-0.01017046,0.093261,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7515153,-0.007596254,-2.939027,,-0.7612097,-0.006168604,-2.922169,,0.0484847,-0.007596254,-0.039027,,0.0387903,-0.006168604,-0.022169,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7985514,-0.03015381,-2.780325,,-0.7989985,-0.01948547,-2.766108,,0.0014486,-0.03015381,0.119675,,0.0010015,-0.01948547,0.133892,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.879063,-0.01703721,-2.740193,,-0.8775987,-0.03141165,-2.734262,,-0.079063,-0.01703721,0.159807,,-0.0775987,-0.03141165,0.165738,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8382571,-0.007596254,-2.757836,,-0.8272623,-0.01691842,-2.756996,,-0.0382571,-0.007596254,0.142164,,-0.0272623,-0.01691842,0.143004,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8338656,-0.007596254,-2.875042,,-0.8225319,-0.01503515,-2.873108,,-0.0338656,-0.007596254,0.024958,,-0.0225319,-0.01503515,0.026892,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7894173,-0.03015381,-2.775314,,-0.7816346,-0.02150822,-2.778511,,0.0105827,-0.03015381,0.124686,,0.0183654,-0.02150822,0.121489,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8900833,-0.007596254,-2.754667,,-0.8848116,-0.02032399,-2.752784,,-0.0900833,-0.007596254,0.145333,,-0.0848116,-0.02032399,0.147216,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6635063,-0.007596254,-2.860416,,-0.6776727,-0.00369668,-2.860098,,0.1364937,-0.007596254,0.039584,,0.1223273,-0.00369668,0.039902,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7079068,-0.03015381,-2.928903,,-0.7184323,-0.02252841,-2.920172,,0.0920932,-0.03015381,-0.028903,,0.0815677,-0.02252841,-0.020172,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.5914422,-0.03015381,-2.788999,,-0.6026766,-0.02028847,-2.778973,,0.2085578,-0.03015381,0.111001,,0.1973234,-0.02028847,0.121027,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8865747,-0.03015381,-2.750257,,-0.8739082,-0.02566075,-2.749195,,-0.0865747,-0.03015381,0.149743,,-0.0739082,-0.02566075,0.150805,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6670927,-0.03015381,-3.002835,,-0.6755816,-0.02409458,-2.98636,,0.1329073,-0.03015381,-0.102835,,0.1244184,-0.02409458,-0.08636,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8687935,-0.007596254,-2.730339,,-0.8559842,-0.01099086,-2.731755,,-0.0687935,-0.007596254,0.169661,,-0.0559842,-0.01099086,0.168245,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6706822,-0.007596254,-2.888762,,-0.6819969,-0.000159025,-2.876019,,0.1293178,-0.007596254,0.011238,,0.1180031,-0.000159025,0.023981,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.754544,-0.03015381,-2.766821,,-0.7605617,-0.04197025,-2.75984,,0.045456,-0.03015381,0.133179,,0.0394383,-0.04197025,0.14016,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.5856146,-0.007596254,-2.806507,,-0.588738,-0.01872182,-2.806179,,0.2143854,-0.007596254,0.093493,,0.211262,-0.01872182,0.093821,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8305019,-0.03015381,-2.821211,,-0.816902,-0.0267446,-2.821542,,-0.0305019,-0.03015381,0.078789,,-0.016902,-0.0267446,0.078458,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.74105,-0.007596254,-2.683028,,-0.7292674,-0.01021767,-2.692163,,0.05895,-0.007596254,0.216972,,0.0707326,-0.01021767,0.207837,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6788778,-0.03015381,-2.804079,,-0.6921114,-0.02575302,-2.803588,,0.1211222,-0.03015381,0.095921,,0.1078886,-0.02575302,0.096412,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8883501,-0.03015381,-2.954482,,-0.874665,-0.03080034,-2.948655,,-0.0883501,-0.03015381,-0.054482,,-0.074665,-0.03080034,-0.048655,,SmallOverlap(Clone) (UnityEngine.GameObject)
