7/1/2019 3:45:43 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-0.9045085	-0.01703721	-2.374557	-0.8886575	-0.01703721	-2.369407	-0.7362329	0.1399765	-2.843427	19:46:09	MediumOverlap(Clone) (UnityEngine.GameObject)	1.884956	1.308997	
2		-0.7057393	-0.007596254	-2.728578	-0.6885116	-0.007596254	-2.734849	-0.7098439	-0.01025033	-2.740729	19:46:16	SmallOverlap(Clone) (UnityEngine.GameObject)	1.22173		1.396263	
3		-0.8251919	-0.03015381	-2.893689	-0.8176919	-0.03015381	-2.90668	-0.8304127	-0.01599121	-2.889702	19:46:20	LargeOverlap(Clone) (UnityEngine.GameObject)	3.665191	1.22173	
4		-0.6423799	-0.03015381	-2.983248	-0.6553323	-0.03015381	-2.993737	-0.6438355	-0.02166843	-2.969257	19:46:24	MediumOverlap(Clone) (UnityEngine.GameObject)	5.393067	1.22173	
5		-0.6777281	-0.01703721	-3.005436	-0.6641334	-0.01703721	-2.999096	-0.6786004	-0.01962137	-2.990079	19:46:28	LargeOverlap(Clone) (UnityEngine.GameObject)	5.148721	1.308997	
6		-0.6466489	-0.03015381	-2.772652	-0.6576822	-0.03015381	-2.75801	-0.6437675	-0.0163722	-2.768041	19:46:34	SmallOverlap(Clone) (UnityEngine.GameObject)	0.6457718	1.22173	
7		-0.9106969	-0.007596254	-2.909104	-0.9044266	-0.007596254	-2.926332	-0.9135439	-0.02096868	-2.909775	19:46:39	SmallOverlap(Clone) (UnityEngine.GameObject)	3.490659	1.396263	
8		-0.7079068	-0.01703721	-2.926645	-0.6947876	-0.01703721	-2.919373	-0.7147971	-0.01165366	-2.91366	19:46:43	LargeOverlap(Clone) (UnityEngine.GameObject)	5.218534	1.308997	
9		-0.8476666	-0.01703721	-2.935675	-0.8367323	-0.01703721	-2.948253	-0.8413339	-0.02638841	-2.932282	19:46:46	MediumOverlap(Clone) (UnityEngine.GameObject)	3.857178	1.308997	
10		-0.8682215	-0.007596254	-2.903486	-0.8743226	-0.007596254	-2.889782	-0.8612463	-0.01971579	-2.898875	19:46:50	LargeOverlap(Clone) (UnityEngine.GameObject)	3.560472	1.396263	
11		-0.7880612	-0.01703721	-2.772898	-0.8015431	-0.01703721	-2.779474	-0.7824433	-0.01566625	-2.777297	19:46:53	LargeOverlap(Clone) (UnityEngine.GameObject)	2.024582	1.308997	
12		-0.8107541	-0.01703721	-2.73675	-0.7960383	-0.01703721	-2.728926	-0.8123353	-0.004392147	-2.73476	19:46:57	MediumOverlap(Clone) (UnityEngine.GameObject)	2.059489	1.308997	
13		-0.875		-0.03015381	-2.817599	-0.8706864	-0.03015381	-2.8015		-0.8715501	-0.02968526	-2.814349	19:47:01	MediumOverlap(Clone) (UnityEngine.GameObject)	2.879793	1.22173	
14		-0.6593785	-0.01703721	-2.706151	-0.6438309	-0.01703721	-2.715866	-0.6720891	-0.009781599	-2.70477	19:47:05	SmallOverlap(Clone) (UnityEngine.GameObject)	1.012291	1.308997	
15		-0.6276409	-0.03015381	-2.809156	-0.6216722	-0.03015381	-2.82649	-0.6317767	-0.01629424	-2.806456	19:47:08	SmallOverlap(Clone) (UnityEngine.GameObject)	0.3316126	1.22173	
16		-0.6249312	-0.03015381	-2.734776	-0.6147012	-0.03015381	-2.745746	-0.635767	-0.02579975	-2.724159	19:47:14	LargeOverlap(Clone) (UnityEngine.GameObject)	0.7504916	1.22173	
17		-0.8900833	-0.03015381	-2.753426	-0.9005988	-0.03015381	-2.768444	-0.8802877	-0.02930403	-2.757744	19:47:20	SmallOverlap(Clone) (UnityEngine.GameObject)	2.530727	1.22173	
18		-0.9037029	-0.03015381	-2.926552	-0.8963967	-0.03015381	-2.941532	-0.901286	-0.02833152	-2.912036	19:47:24	MediumOverlap(Clone) (UnityEngine.GameObject)	3.595378	1.22173	
19		-0.7708409	-0.01703721	-2.68199	-0.7857291	-0.01703721	-2.683818	-0.759661	-0.01194096	-2.68591	19:47:27	LargeOverlap(Clone) (UnityEngine.GameObject)	1.692969	1.308997	
20		-0.6617429	-0.01703721	-2.757179	-0.6507726	-0.01703721	-2.767409	-0.6718323	-0.01572537	-2.760857	19:47:34	LargeOverlap(Clone) (UnityEngine.GameObject)	0.8203048	1.308997	
21		-0.6229681	-0.007596254	-2.827215	-0.6194699	-0.007596254	-2.845212	-0.6295447	-0.01743197	-2.816307	19:47:38	SmallOverlap(Clone) (UnityEngine.GameObject)	0.1919862	1.396263	
22		-0.684473	-0.01703721	-2.795033	-0.6724453	-0.01703721	-2.808869	-0.6905077	-0.002425671	-2.792616	19:47:43	SmallOverlap(Clone) (UnityEngine.GameObject)	0.715585	1.308997	
