7/3/2019 3:21:56 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-1.178584	-0.03015381	-2.592643	-1.188026	-0.03015381	-2.608357	-0.7607698	0.03327703	-2.855179	19:23:33	SmallOverlap(Clone) (UnityEngine.GameObject)	2.600541	1.22173	
2		-0.8140615	-0.007596254	-3.008797	-0.7986085	-0.007596254	-3.015041	-0.8193869	-0.01599646	-3.009621	19:23:43	MediumOverlap(Clone) (UnityEngine.GameObject)	4.328416	1.396263	
3		-0.7289953	-0.03015381	-2.766066	-0.7467841	-0.03015381	-2.76163	-0.719628	-0.03757024	-2.755185	19:23:47	SmallOverlap(Clone) (UnityEngine.GameObject)	1.32645	1.22173	
4		-0.7738	-0.007596254	-3.01973	-0.758946	-0.007596254	-3.021818	-0.7642322	-0.01791358	-3.013881	19:23:50	LargeOverlap(Clone) (UnityEngine.GameObject)	4.572762	1.396263	
5		-0.8069617	-0.007596254	-2.784928	-0.7943832	-0.007596254	-2.773994	-0.8163324	-0.009094	-2.785231	19:23:53	MediumOverlap(Clone) (UnityEngine.GameObject)	2.286381	1.396263	
6		-0.831588	-0.03015381	-2.820828	-0.8367183	-0.03015381	-2.834924	-0.8242085	-0.02690029	-2.808794	19:23:57	LargeOverlap(Clone) (UnityEngine.GameObject)	2.792527	1.22173	
7		-0.920984	-0.01703721	-2.847613	-0.921304	-0.01703721	-2.865944	-0.9196275	0.009528875	-2.836724	19:24:00	SmallOverlap(Clone) (UnityEngine.GameObject)	3.124139	1.308997	
8		-0.7680103	-0.01703721	-2.72252	-0.7515059	-0.01703721	-2.720201	-0.7803722	-0.01266313	-2.721228	19:24:03	MediumOverlap(Clone) (UnityEngine.GameObject)	1.710423	1.308997	
9		-0.8204815	-0.01703721	-2.742207	-0.8079014	-0.01703721	-2.734037	-0.8231944	-0.03008103	-2.740772	19:24:07	LargeOverlap(Clone) (UnityEngine.GameObject)	2.146755	1.308997	
10		-0.6283948	-0.01703721	-2.806549	-0.6221245	-0.01703721	-2.823776	-0.6278591	-0.006070852	-2.793327	19:24:10	SmallOverlap(Clone) (UnityEngine.GameObject)	0.3490658	1.308997	
11		-0.8778163	-0.03015381	-2.830634	-0.8804235	-0.03015381	-2.847095	-0.8779028	-0.02019286	-2.83772	19:24:13	MediumOverlap(Clone) (UnityEngine.GameObject)	2.984513	1.22173	
12		-0.9085578	-0.03015381	-2.786885	-0.9141769	-0.03015381	-2.800792	-0.9352721	-0.01251101	-2.776606	19:24:16	LargeOverlap(Clone) (UnityEngine.GameObject)	2.75762	1.22173	
13		-0.8456276	-0.03015381	-2.992791	-0.8304286	-0.03015381	-3.003043	-0.8521214	-0.03706837	-2.997058	19:24:19	SmallOverlap(Clone) (UnityEngine.GameObject)	4.118977	1.22173	
14		-0.5799267	-0.01703721	-2.833212	-0.5816689	-0.01703721	-2.816637	-0.5467416	-0.01677847	-2.818326	19:24:23	MediumOverlap(Clone) (UnityEngine.GameObject)	0.1047198	1.308997	
15		-0.6953092	-0.007596254	-2.733872	-0.7119248	-0.007596254	-2.726124	-0.6902978	-0.0197978	-2.734279	19:24:26	SmallOverlap(Clone) (UnityEngine.GameObject)	1.134464	1.396263	
16		-0.668412	-0.01703721	-2.82153	-0.6621417	-0.01703721	-2.838758	-0.6571312	-0.02008128	-2.816132	19:24:29	SmallOverlap(Clone) (UnityEngine.GameObject)	0.3490658	1.308997	
17		-0.6439939	-0.007596254	-2.92552	-0.6525975	-0.007596254	-2.937808	-0.6305121	-0.01143861	-2.918494	19:24:32	LargeOverlap(Clone) (UnityEngine.GameObject)	5.67232	1.396263	
18		-0.6755772	-0.01703721	-2.806643	-0.6669933	-0.01703721	-2.820929	-0.6560587	0.02414536	-2.764117	19:24:35	MediumOverlap(Clone) (UnityEngine.GameObject)	0.541052	1.308997	
19		-0.858532	-0.01703721	-2.92191	-0.8667015	-0.01703721	-2.90933	-0.8756223	0.01479769	-2.936723	19:24:39	LargeOverlap(Clone) (UnityEngine.GameObject)	3.717551	1.308997	
20		-0.8491335	-0.03015381	-2.934681	-0.8384204	-0.03015381	-2.947448	-0.8580157	-0.03556061	-2.929854	19:24:42	MediumOverlap(Clone) (UnityEngine.GameObject)	3.839724	1.22173	
21		-0.5821319	-0.007596254	-2.884196	-0.5789517	-0.007596254	-2.867836	-0.5869358	-0.003958702	-2.878155	19:24:45	MediumOverlap(Clone) (UnityEngine.GameObject)	6.091199	1.396263	
22		-0.7174751	-0.007596254	-2.771132	-0.7329282	-0.007596254	-2.764889	-0.7201574	-0.01533413	-2.763048	19:24:48	MediumOverlap(Clone) (UnityEngine.GameObject)	1.186824	1.396263	
23		-0.6834889	-0.01703721	-2.907512	-0.694202	-0.01703721	-2.92028	-0.6808747	-0.02728915	-2.899108	19:24:51	MediumOverlap(Clone) (UnityEngine.GameObject)	5.585053	1.308997	
24		-0.8546945	-0.03015381	-2.927836	-0.8458778	-0.03015381	-2.939972	-0.8622149	-0.03729129	-2.925489	19:24:55	LargeOverlap(Clone) (UnityEngine.GameObject)	3.769911	1.22173	
25		-0.7173697	-0.01703721	-2.683971	-0.7026453	-0.01703721	-2.686833	-0.7320189	-0.006891966	-2.654976	19:24:58	LargeOverlap(Clone) (UnityEngine.GameObject)	1.37881	1.308997	
26		-0.6244345	-0.03015381	-2.883214	-0.6199992	-0.03015381	-2.865426	-0.6187521	0.01415706	-2.892158	19:25:01	SmallOverlap(Clone) (UnityEngine.GameObject)	6.038839	1.22173	
27		-0.8505172	-0.03015381	-2.990327	-0.8653492	-0.03015381	-2.979551	-0.8491311	-0.0400424	-2.984491	19:25:04	SmallOverlap(Clone) (UnityEngine.GameObject)	4.08407	1.22173	
