Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
155,,-0.7439435,-0.007596254,-2.774844,-0.7605695,-0.007596254,-2.773681,-0.74296,-0.01589799,-2.756892,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0060565,-0.007596254,0.075156,-0.0105695,-0.007596254,0.076319,0.00704,-0.01589799,0.093108,,0.075781321
177,,-0.726068,-0.01703721,-2.779593,-0.742089,-0.01703721,-2.775,-0.7218554,-0.03525853,-2.757698,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.023932,-0.01703721,0.070407,0.007911,-0.01703721,0.075,0.0281446,-0.03525853,0.092302,,0.076289926
162,,-0.7960098,-0.007596254,-2.788322,-0.8087305,-0.007596254,-2.796271,-0.7903703,-0.01842809,-2.77145,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0460098,-0.007596254,0.061678,-0.0587305,-0.007596254,0.053729,-0.0403703,-0.01842809,0.07855,,0.077322574
133,,-0.754544,-0.007596254,-2.773054,-0.7711878,-0.007596254,-2.773927,-0.755145,-0.01310825,-2.757279,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.004544,-0.007596254,0.076946,-0.0211878,-0.007596254,0.076073,-0.005145,-0.01310825,0.092721,,0.077453457
132,,-0.7590756,-0.007596254,-2.773335,-0.7441577,-0.007596254,-2.771768,-0.7594659,-0.00287652,-2.76062,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0090756,-0.007596254,0.076665,0.0058423,-0.007596254,0.078232,-0.0094659,-0.00287652,0.08938,,0.077573138
128,,-0.7782671,-0.007596254,-2.777266,-0.7609326,-0.007596254,-2.771297,-0.7861239,-0.01352096,-2.751516,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0282671,-0.007596254,0.072734,-0.0109326,-0.007596254,0.078703,-0.0361239,-0.01352096,0.098484,,0.078402594
167,,-0.8103131,-0.007596254,-2.79987,-0.7983241,-0.007596254,-2.788293,-0.807156,-0.01923919,-2.776555,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0603131,-0.007596254,0.05013,-0.0483241,-0.007596254,0.061707,-0.057156,-0.01923919,0.073445,,0.078793337
145,,-0.7825249,-0.01703721,-2.780198,-0.7670718,-0.01703721,-2.773954,-0.7828799,-0.01683021,-2.769356,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0325249,-0.01703721,0.069802,-0.0170718,-0.01703721,0.076046,-0.0328799,-0.01683021,0.080644,,0.07886986
153,,-0.7027122,-0.01703721,-2.788486,-0.6901321,-0.01703721,-2.796656,-0.7002915,-0.03446627,-2.766181,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0472878,-0.01703721,0.061514,0.0598679,-0.01703721,0.053344,0.0497085,-0.03446627,0.083819,,0.079437867
147,,-0.8134992,-0.007596254,-2.801652,-0.8032691,-0.007596254,-2.790682,-0.8157399,-0.02037168,-2.78531,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0634992,-0.007596254,0.048348,-0.0532691,-0.007596254,0.059318,-0.0657399,-0.02037168,0.06469,,0.080170946
134,,-0.7934121,-0.01703721,-2.784641,-0.8092892,-0.01703721,-2.793807,-0.7797913,-0.02746415,-2.759613,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0434121,-0.01703721,0.065359,-0.0592892,-0.01703721,0.056193,-0.0297913,-0.02746415,0.090387,,0.080291194
165,,-0.8113939,-0.01703721,-2.800793,-0.7984303,-0.01703721,-2.78783,-0.8061619,-0.03222847,-2.771597,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0613939,-0.01703721,0.049207,-0.0484303,-0.01703721,0.06217,-0.0561619,-0.03222847,0.078403,,0.080503455
141,,-0.6941906,-0.01703721,-2.793854,-0.706958,-0.01703721,-2.783141,-0.6935097,-0.0258503,-2.776405,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0558094,-0.01703721,0.056146,0.043042,-0.01703721,0.066859,0.0564903,-0.0258503,0.073595,,0.080977336
137,,-0.8046402,-0.01703721,-2.792585,-0.792983,-0.01703721,-2.783146,-0.8086049,-0.02059484,-2.773378,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0546402,-0.01703721,0.057415,-0.042983,-0.01703721,0.066854,-0.0586049,-0.02059484,0.076622,,0.081069724
76,,-0.7768301,-0.007596254,-2.772926,-0.7609792,-0.007596254,-2.767776,-0.7895648,-0.0130794,-2.763381,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0268301,-0.007596254,0.077074,-0.0109792,-0.007596254,0.082224,-0.0395648,-0.0130794,0.086619,,0.081963155
103,,-0.6896869,-0.01703721,-2.79496,-0.6776979,-0.01703721,-2.806538,-0.6905583,-0.02956295,-2.768621,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0603131,-0.01703721,0.05504,0.0723021,-0.01703721,0.043462,0.0594417,-0.02956295,0.081379,,0.08341066
63,,-0.684473,-0.01703721,-2.797571,-0.6943139,-0.01703721,-2.786251,-0.6887386,-0.0319066,-2.785255,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.065527,-0.01703721,0.052429,0.0556861,-0.01703721,0.063749,0.0612614,-0.0319066,0.064745,,0.085632087
22,,-0.7174751,-0.007596254,-2.771132,-0.7329282,-0.007596254,-2.764889,-0.7201574,-0.01533413,-2.763048,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0325249,-0.007596254,0.078868,0.0170718,-0.007596254,0.085111,0.0298426,-0.01533413,0.086952,,0.085648897
84,,-0.781115,-0.03015381,-2.775013,-0.7671113,-0.03015381,-2.769637,-0.7800857,-0.03332353,-2.771854,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.031115,-0.03015381,0.074987,-0.0171113,-0.03015381,0.080363,-0.0300857,-0.03332353,0.078146,,0.086605113
