Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relcolly,relcollz,,targetradius,,,,,,,,,,,,,,,,,
,,-0.8251919,-0.03015381,-2.893689,-0.8176919,-0.03015381,-2.90668,-0.8304127,-0.01599121,-2.889702,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0751919,-0.03015381,-0.043689,-0.0676919,-0.03015381,-0.05668,-0.0804127,-0.01599121,-0.039702,,,,,,,,,,,,,,,,,,,
2,,-0.6777281,-0.01703721,-3.005436,-0.6641334,-0.01703721,-2.999096,-0.6786004,-0.01962137,-2.990079,LargeOverlap(Clone) (UnityEngine.GameObject),0.0722719,-0.01703721,-0.155436,0.0858666,-0.01703721,-0.149096,0.0713996,-0.01962137,-0.140079,,0.129460476,,,,,,,,,,,,,,,,,
3,,-0.7079068,-0.01703721,-2.926645,-0.6947876,-0.01703721,-2.919373,-0.7147971,-0.01165366,-2.91366,LargeOverlap(Clone) (UnityEngine.GameObject),0.0420932,-0.01703721,-0.076645,0.0552124,-0.01703721,-0.069373,0.0352029,-0.01165366,-0.06366,,0.092042397,,,,,,,,,,,,,,,,,
4,,-0.8682215,-0.007596254,-2.903486,-0.8743226,-0.007596254,-2.889782,-0.8612463,-0.01971579,-2.898875,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1182215,-0.007596254,-0.053486,-0.1243226,-0.007596254,-0.039782,-0.1112463,-0.01971579,-0.048875,,0.173914829,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
5,,-0.7880612,-0.01703721,-2.772898,-0.8015431,-0.01703721,-2.779474,-0.7824433,-0.01566625,-2.777297,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0380612,-0.01703721,0.077102,-0.0515431,-0.01703721,0.070526,-0.0324433,-0.01566625,0.072703,,0.172260977,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
6,,-0.6249312,-0.03015381,-2.734776,-0.6147012,-0.03015381,-2.745746,-0.635767,-0.02579975,-2.724159,LargeOverlap(Clone) (UnityEngine.GameObject),0.1250688,-0.03015381,0.115224,0.1352988,-0.03015381,0.104254,0.114233,-0.02579975,0.125841,,0.132564759,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
7,,-0.7708409,-0.01703721,-2.68199,-0.7857291,-0.01703721,-2.683818,-0.759661,-0.01194096,-2.68591,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0208409,-0.01703721,0.16801,-0.0357291,-0.01703721,0.166182,-0.009661,-0.01194096,0.16409,,0.171389847,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
8,,-0.6617429,-0.01703721,-2.757179,-0.6507726,-0.01703721,-2.767409,-0.6718323,-0.01572537,-2.760857,LargeOverlap(Clone) (UnityEngine.GameObject),0.0882571,-0.01703721,0.092821,0.0992274,-0.01703721,0.082591,0.0781677,-0.01572537,0.089143,,0.089087373,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
9,,-0.8755655,-0.007596254,-2.883382,-0.8791944,-0.007596254,-2.868827,-0.8671771,-0.004328251,-2.864836,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1255655,-0.007596254,-0.033382,-0.1291944,-0.007596254,-0.018827,-0.1171771,-0.004328251,-0.014836,,0.131031435,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
10,,-0.8338656,-0.007596254,-2.875042,-0.8377479,-0.007596254,-2.860553,-0.8225319,-0.01503515,-2.873108,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0838656,-0.007596254,-0.025042,-0.0877479,-0.007596254,-0.010553,-0.0725319,-0.01503515,-0.023108,,0.129979915,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
