7/1/2019 3:27:49 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-1.25		-0.007596254	-2.850091	-1.25		-0.007596254	-2.831757	-0.7562504	0.1299868	-2.802192	19:29:36	SmallOverlap(Clone) (UnityEngine.GameObject)	3.141593	1.396263	
2		-0.8310573	-0.01703721	-2.881301	-0.8244872	-0.01703721	-2.898417	-0.8181857	-0.01103663	-2.869755	19:29:43	SmallOverlap(Clone) (UnityEngine.GameObject)	3.508112	1.308997	
3		-0.6215551	-0.007596254	-2.866029	-0.6235862	-0.007596254	-2.882571	-0.6288903	0.005483627	-2.865684	19:29:47	MediumOverlap(Clone) (UnityEngine.GameObject)	6.161012	1.396263	
4		-0.7947177	-0.03015381	-2.924769	-0.8104324	-0.03015381	-2.915327	-0.7873936	-0.0142169	-2.922546	19:29:50	SmallOverlap(Clone) (UnityEngine.GameObject)	4.171337	1.22173	
5		-0.9135377	-0.03015381	-2.80043	-0.9081776	-0.03015381	-2.782898	-0.8993892	-0.02292848	-2.793999	19:29:55	SmallOverlap(Clone) (UnityEngine.GameObject)	2.844887	1.22173	
6		-0.9207757	-0.007596254	-2.841566	-0.9199035	-0.007596254	-2.824922	-0.9080675	-0.003944874	-2.836622	19:29:58	MediumOverlap(Clone) (UnityEngine.GameObject)	3.089233	1.396263	
7		-0.831588	-0.01703721	-2.880287	-0.8372883	-0.01703721	-2.864625	-0.8201031	-0.006282806	-2.874589	19:30:02	MediumOverlap(Clone) (UnityEngine.GameObject)	3.490659	1.308997	
8		-0.7275283	-0.03015381	-2.723233	-0.7127562	-0.03015381	-2.725837	-0.7379116	-0.02880812	-2.723579	19:30:06	LargeOverlap(Clone) (UnityEngine.GameObject)	1.396263	1.22173	
9		-0.6269857	-0.007596254	-2.969552	-0.6165658	-0.007596254	-2.958761	-0.6362321	0.006002426	-2.964284	19:30:10	LargeOverlap(Clone) (UnityEngine.GameObject)	5.51524		1.396263	
10		-0.8228168	-0.007596254	-2.803557	-0.8137395	-0.007596254	-2.789579	-0.8246014	-0.01661873	-2.80456	19:30:13	MediumOverlap(Clone) (UnityEngine.GameObject)	2.565634	1.396263	
11		-0.6632949	-0.007596254	-2.855471	-0.66408	-0.007596254	-2.87045	-0.6529427	0.001519918	-2.841955	19:30:17	LargeOverlap(Clone) (UnityEngine.GameObject)	6.230825	1.396263	
12		-0.8259381	-0.03015381	-2.893114	-0.8178579	-0.03015381	-2.907691	-0.8226224	-0.03332019	-2.874154	19:30:21	MediumOverlap(Clone) (UnityEngine.GameObject)	3.647738	1.22173	
13		-0.7028633	-0.007596254	-3.015494	-0.7188843	-0.007596254	-3.020088	-0.6935072	-0.0119853	-3.018766	19:30:26	MediumOverlap(Clone) (UnityEngine.GameObject)	4.991642	1.396263	
14		-0.745456	-0.03015381	-2.764498	-0.7604354	-0.03015381	-2.763712	-0.7425835	-0.01740456	-2.762949	19:30:30	LargeOverlap(Clone) (UnityEngine.GameObject)	1.518436	1.22173	
15		-0.7913711	-0.007596254	-2.685352	-0.8091599	-0.007596254	-2.689787	-0.792156	-0.01809716	-2.689363	19:30:34	SmallOverlap(Clone) (UnityEngine.GameObject)	1.815142	1.396263	
16		-0.676369	-0.03015381	-2.897378	-0.6860842	-0.03015381	-2.912926	-0.6681329	-0.02509665	-2.881531	19:30:38	SmallOverlap(Clone) (UnityEngine.GameObject)	5.72468		1.22173	
17		-0.75	-0.007596254	-3.022469	-0.735	-0.007596254	-3.022469	-0.7522135	-0.01489258	-3.007484	19:30:42	LargeOverlap(Clone) (UnityEngine.GameObject)	4.712389			1.396263	
18		-0.7530301	-0.007596254	-2.764778	-0.768021	-0.007596254	-2.765302	-0.7478496	-0.0135591	-2.769884	19:30:46	LargeOverlap(Clone) (UnityEngine.GameObject)	1.605703	1.396263	
19		-0.8330303	-0.007596254	-2.826252	-0.8374159	-0.007596254	-2.840596	-0.8410711	-0.01590443	-2.815497	19:30:50	LargeOverlap(Clone) (UnityEngine.GameObject)	2.844887	1.396263	
20		-0.8113939	-0.01703721	-2.790324	-0.8220005	-0.01703721	-2.800931	-0.7993223	-0.01694465	-2.785753	19:30:54	LargeOverlap(Clone) (UnityEngine.GameObject)	2.356194	1.308997	
21		-0.6668171	-0.01703721	-2.752665	-0.652773	-0.01703721	-2.764449	-0.6767462	-0.02483392	-2.742344	19:30:58	SmallOverlap(Clone) (UnityEngine.GameObject)	0.8726646	1.308997	
22		-0.8790943	-0.007596254	-2.860919	-0.8778154	-0.007596254	-2.879208	-0.8646486	-0.01041794	-2.850519	19:31:02	SmallOverlap(Clone) (UnityEngine.GameObject)	3.211406	1.396263	
23		-0.8113939	-0.03015381	-2.790592	-0.8007873	-0.03015381	-2.779985	-0.8111746	-0.01821542	-2.791419	19:31:06	LargeOverlap(Clone) (UnityEngine.GameObject)	2.356194	1.22173	
24		-0.7913711	-0.01703721	-3.018014	-0.7768167	-0.01703721	-3.021643	-0.7989188	-0.01163363	-2.998004	19:31:10	LargeOverlap(Clone) (UnityEngine.GameObject)	4.468043	1.308997	
25		-0.8166509	-0.03015381	-2.963102	-0.8037934	-0.03015381	-2.970828	-0.8204421	-0.02665234	-2.941333	19:31:15	LargeOverlap(Clone) (UnityEngine.GameObject)	4.171337	1.22173	
26		-0.8750688	-0.007596254	-2.968903	-0.8852988	-0.007596254	-2.957933	-0.8691062	-0.01157141	-2.952895	19:31:20	LargeOverlap(Clone) (UnityEngine.GameObject)	3.892084	1.396263	
27		-0.706588	-0.01703721	-2.927555	-0.7195783	-0.01703721	-2.935055	-0.7061818	-0.0002110004	-2.913548	19:31:24	LargeOverlap(Clone) (UnityEngine.GameObject)	5.235988	1.308997	
28		-0.6439939	-0.01703721	-2.778223	-0.6334783	-0.01703721	-2.79324	-0.6453464	-0.01989508	-2.75855	19:31:28	SmallOverlap(Clone) (UnityEngine.GameObject)	0.6108652	1.308997	
29		-0.763527	-0.03015381	-2.723855	-0.7469516	-0.03015381	-2.722113	-0.768851	-0.02344441	-2.726122	19:31:33	MediumOverlap(Clone) (UnityEngine.GameObject)	1.675516	1.22173	
30		-0.6019009	-0.01703721	-2.938161	-0.5927343	-0.01703721	-2.922284	-0.6106381	-0.00242281	-2.927468	19:31:37	SmallOverlap(Clone) (UnityEngine.GameObject)	5.759586	1.308997	
31		-0.8185766	-0.01703721	-2.962502	-0.8312973	-0.01703721	-2.954553	-0.8117523	-0.006100655	-2.945868	19:31:42	LargeOverlap(Clone) (UnityEngine.GameObject)	4.153883	1.308997	
32		-0.65383	-0.007596254	-2.939443	-0.6415626	-0.007596254	-2.925819	-0.6618431	0.004754066	-2.922579	19:31:46	SmallOverlap(Clone) (UnityEngine.GameObject)	5.550147	1.396263	
33		-0.7866935	-0.03015381	-2.774253	-0.7715883	-0.03015381	-2.76721	-0.7887071	-0.02025819	-2.772849	19:31:51	MediumOverlap(Clone) (UnityEngine.GameObject)	2.007129	1.22173	
34		-0.6750342	-0.01703721	-3.006731	-0.6600543	-0.01703721	-2.999424	-0.6657755	-0.008755445	-2.996317	19:31:55	MediumOverlap(Clone) (UnityEngine.GameObject)	5.166174	1.308997	
35		-0.826065	-0.01703721	-2.748426	-0.8139297	-0.01703721	-2.739609	-0.8246524	-0.01621294	-2.751297	19:31:59	LargeOverlap(Clone) (UnityEngine.GameObject)	2.199115	1.308997	
36		-0.8533511	-0.03015381	-2.775317	-0.8623783	-0.03015381	-2.787297	-0.8439115	-0.01796055	-2.767726	19:32:03	LargeOverlap(Clone) (UnityEngine.GameObject)	2.495821	1.22173	
37		-0.7291591	-0.007596254	-2.683538	-0.7473558	-0.007596254	-2.681304	-0.7288407	-0.01427031	-2.664626	19:32:07	SmallOverlap(Clone) (UnityEngine.GameObject)	1.448623	1.396263	
38		-0.6640208	-0.03015381	-2.865452	-0.6661084	-0.03015381	-2.880306	-0.6578335	-0.01444387	-2.853746	19:32:11	LargeOverlap(Clone) (UnityEngine.GameObject)	6.143559	1.22173	
39		-0.5864623	-0.007596254	-2.803455	-0.5811021	-0.007596254	-2.820987	-0.5972997	-0.006742001	-2.798354	19:32:14	SmallOverlap(Clone) (UnityEngine.GameObject)	0.296706	1.396263	
40		-0.7217329	-0.007596254	-2.771455	-0.70755	-0.007596254	-2.776339	-0.7312375	-0.0173285	-2.761588	19:32:19	LargeOverlap(Clone) (UnityEngine.GameObject)	1.239184	1.396263	
41		-0.7001997	-0.03015381	-2.782515	-0.7138523	-0.03015381	-2.772956	-0.687968	-0.03286695	-2.777954	19:32:23	MediumOverlap(Clone) (UnityEngine.GameObject)	0.9599311	1.22173	
42		-0.835505	-0.01703721	-3.001839	-0.8225147	-0.01703721	-3.009339	-0.8358179	-0.01250315	-2.978105	19:32:27	LargeOverlap(Clone) (UnityEngine.GameObject)	4.18879	1.308997	
43		-0.7702441	-0.01703721	-2.726033	-0.7537826	-0.01703721	-2.723426	-0.7720645	-0.0176518	-2.727838	19:32:32	MediumOverlap(Clone) (UnityEngine.GameObject)	1.727876	1.308997	
44		-0.7036238	-0.03015381	-2.733121	-0.7176275	-0.03015381	-2.727746	-0.7011284	-0.02555823	-2.735377	19:32:37	LargeOverlap(Clone) (UnityEngine.GameObject)	1.204277	1.22173	
45		-0.8599232	-0.03015381	-2.72302	-0.8726906	-0.03015381	-2.733733	-0.8475149	-0.01918292	-2.708148	19:32:41	MediumOverlap(Clone) (UnityEngine.GameObject)	2.268928	1.22173	
46		-0.6470836	-0.01703721	-2.71754	-0.6324419	-0.01703721	-2.728573	-0.6528509	-0.01242065	-2.711754	19:32:45	SmallOverlap(Clone) (UnityEngine.GameObject)	0.9250245	1.308997	
47		-0.8242263	-0.01703721	-2.960222	-0.8092085	-0.01703721	-2.970738	-0.8148756	-0.009930372	-2.941359	19:32:49	SmallOverlap(Clone) (UnityEngine.GameObject)	4.101524	1.308997	
48		-0.8533511	-0.03015381	-2.776426	-0.8643844	-0.03015381	-2.791068	-0.8404781	-0.01727843	-2.767657	19:32:54	SmallOverlap(Clone) (UnityEngine.GameObject)	2.495821	1.22173	
49		-0.9178681	-0.01703721	-2.887021	-0.914688	-0.01703721	-2.903382	-0.9271542	-0.004463911	-2.885757	19:32:58	MediumOverlap(Clone) (UnityEngine.GameObject)	3.333579	1.308997	
