7/3/2019 3:36:40 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-1.21679	-0.007596254	-3.029861	-1.222763	-0.007596254	-3.014301	-0.7632458	0.02876711	-2.865713	19:37:33	MediumOverlap(Clone) (UnityEngine.GameObject)	3.508112	1.396263	
2		-0.8305019	-0.03015381	-2.818223	-0.8367454	-0.03015381	-2.833676	-0.8230253	-0.03831077	-2.808848	19:38:06	MediumOverlap(Clone) (UnityEngine.GameObject)	2.75762	1.22173	
3		-0.6619233	-0.01703721	-2.997437	-0.6490659	-0.01703721	-2.989712	-0.6743792	0.004981518	-2.976768	19:38:10	LargeOverlap(Clone) (UnityEngine.GameObject)	5.253441	1.308997	
4		-0.8107541	-0.03015381	-2.736665	-0.7975099	-0.03015381	-2.729623	-0.8168322	-0.03846574	-2.730255	19:38:15	LargeOverlap(Clone) (UnityEngine.GameObject)	2.059489	1.22173	
5		-0.74105	-0.01703721	-2.680222	-0.7560294	-0.01703721	-2.679436	-0.7322723	-0.02547646	-2.685149	19:38:18	LargeOverlap(Clone) (UnityEngine.GameObject)	1.518436	1.308997	
6		-0.7078684	-0.03015381	-2.973428	-0.7252029	-0.03015381	-2.979397	-0.708752	0.01629305	-2.963315	19:38:21	SmallOverlap(Clone) (UnityEngine.GameObject)	5.044002	1.22173	
7		-0.6134253	-0.03015381	-2.748223	-0.6224525	-0.03015381	-2.736244	-0.5870311	-0.005536079	-2.746475	19:38:25	LargeOverlap(Clone) (UnityEngine.GameObject)	0.6457718	1.22173	
8		-0.9009929	-0.007596254	-2.931494	-0.9088175	-0.007596254	-2.916779	-0.8928366	-0.01378942	-2.93835	19:38:28	MediumOverlap(Clone) (UnityEngine.GameObject)	3.630285	1.396263	
9		-0.7469699	-0.03015381	-2.938058	-0.7303134	-0.03015381	-2.937476	-0.75689	-0.037606	-2.928476	19:38:31	MediumOverlap(Clone) (UnityEngine.GameObject)	4.747295	1.22173	
10		-0.8222719	-0.01703721	-3.006346	-0.8358666	-0.01703721	-3.000007	-0.8204899	-0.026824	-3.003415	19:38:35	LargeOverlap(Clone) (UnityEngine.GameObject)	4.276057	1.308997	
11		-0.75	-0.007596254	-2.722023	-0.765	-0.007596254	-2.722023	-0.7492906	-0.01918793	-2.71526	19:38:38	LargeOverlap(Clone) (UnityEngine.GameObject)	1.570796	1.396263	
12		-0.6896869	-0.007596254	-2.789051	-0.7028748	-0.007596254	-2.776315	-0.6804221	-0.01520181	-2.77826	19:38:42	SmallOverlap(Clone) (UnityEngine.GameObject)	0.8028514	1.396263	
