Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
153,,-0.7947177,-0.01703721,-2.787362,-0.779003,-0.01703721,-2.777919,-0.8135024,0.004292011,-2.759051,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0447177,-0.01703721,0.062638,-0.029003,-0.01703721,0.072081,-0.0635024,0.004292011,0.090949,,0.078825492
124,,-0.7753849,-0.01703721,-2.776621,-0.7578527,-0.01703721,-2.77126,-0.7719325,-0.02622843,-2.767146,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0253849,-0.01703721,0.073379,-0.0078527,-0.01703721,0.07874,-0.0219325,-0.02622843,0.082854,,0.079493002
122,,-0.718885,-0.01703721,-2.778448,-0.7360007,-0.01703721,-2.771878,-0.7146018,-0.0351162,-2.759665,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.031115,-0.01703721,0.071552,0.0139993,-0.01703721,0.078122,0.0353982,-0.0351162,0.090335,,0.079862998
88,,-0.754544,-0.007596254,-2.77023,-0.7362358,-0.007596254,-2.76927,-0.7587464,-0.01006413,-2.757118,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.004544,-0.007596254,0.07977,0.0137642,-0.007596254,0.08073,-0.0087464,-0.01006413,0.092882,,0.080259603
143,,-0.7394188,-0.03015381,-2.774878,-0.7576155,-0.03015381,-2.772643,-0.7397339,-0.05029583,-2.750366,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0105812,-0.03015381,0.075122,-0.0076155,-0.03015381,0.077357,0.0102661,-0.05029583,0.099634,,0.081636566
109,,-0.6834888,-0.007596254,-2.802629,-0.6717044,-0.007596254,-2.816673,-0.6856122,-0.02511406,-2.789506,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0665112,-0.007596254,0.047371,0.0782956,-0.007596254,0.033327,0.0643878,-0.02511406,0.060494,,0.082008868
161,,-0.6780195,-0.01703721,-2.813787,-0.6882714,-0.01703721,-2.798588,-0.6843086,-0.02260327,-2.79668,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0719805,-0.01703721,0.036213,0.0617286,-0.01703721,0.051412,0.0656914,-0.02260327,0.05332,,0.082358001
102,,-0.8334607,-0.007596254,-2.83401,-0.838514,-0.007596254,-2.851634,-0.8376893,-0.02348685,-2.812809,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0834607,-0.007596254,0.01599,-0.088514,-0.007596254,-0.001634,-0.0876893,-0.02348685,0.037191,,0.085317475
29,,-0.8219805,-0.007596254,-2.804227,-0.8117286,-0.007596254,-2.789028,-0.838142,0.01559639,-2.815628,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0719805,-0.007596254,0.045773,-0.0617286,-0.007596254,0.060972,-0.088142,0.01559639,0.034372,,0.085639144
87,,-0.8345988,-0.007596254,-2.837334,-0.8304747,-0.007596254,-2.819471,-0.830313,-0.01554799,-2.837604,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0845988,-0.007596254,0.012666,-0.0804747,-0.007596254,0.030529,-0.080313,-0.01554799,0.012396,,0.08587833
12,,-0.6896869,-0.007596254,-2.789051,-0.7028748,-0.007596254,-2.776315,-0.6804221,-0.01520181,-2.77826,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0603131,-0.007596254,0.060949,0.0471252,-0.007596254,0.073685,0.0695779,-0.01520181,0.07174,,0.08608225
99,,-0.6977479,-0.03015381,-2.788391,-0.6831063,-0.03015381,-2.799424,-0.7084337,-0.03209066,-2.774433,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0522521,-0.03015381,0.061609,0.0668937,-0.03015381,0.050576,0.0415663,-0.03209066,0.075567,,0.086227624
151,,-0.8345988,-0.01703721,-2.8421,-0.8304747,-0.01703721,-2.824236,-0.8394126,-0.02079439,-2.828322,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0845988,-0.01703721,0.0079,-0.0804747,-0.01703721,0.025764,-0.0894126,-0.02079439,0.021678,,0.086658141
15,,-0.7052823,-0.01703721,-2.777299,-0.720997,-0.01703721,-2.767857,-0.7005883,-0.02607822,-2.773307,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0447177,-0.01703721,0.072701,0.029003,-0.01703721,0.082143,0.0494117,-0.02607822,0.076693,,0.087036628
68,,-0.8355051,-0.007596254,-2.87059,-0.8386886,-0.007596254,-2.852535,-0.8384728,-0.01625061,-2.869643,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0855051,-0.007596254,-0.02059,-0.0886886,-0.007596254,-0.002535,-0.0884728,-0.01625061,-0.019643,,0.088276686
36,,-0.8202422,-0.03015381,-2.802226,-0.8310182,-0.03015381,-2.817058,-0.8173577,-0.0404489,-2.793293,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0702422,-0.03015381,0.047774,-0.0810182,-0.03015381,0.032942,-0.0673577,-0.0404489,0.056707,,0.090141966
30,,-0.6780195,-0.03015381,-2.804296,-0.6882714,-0.03015381,-2.789097,-0.6612318,0.01137519,-2.785781,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0719805,-0.03015381,0.045704,0.0617286,-0.03015381,0.060903,0.0887682,0.01137519,0.064219,,0.090439484
23,,-0.793412,-0.01703721,-2.927509,-0.7775349,-0.01703721,-2.936676,-0.808751,0.02079463,-2.922299,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.043412,-0.01703721,-0.077509,-0.0275349,-0.01703721,-0.086676,-0.058751,0.02079463,-0.072299,,0.090457246
