Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relxolly,relxollz,,,,,,,,,,,,,,
135,,-0.7304688,-0.01703721,-2.778033,-0.7126054,-0.01703721,-2.782157,-0.7407808,-0.0133183,-2.761274,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0195312,-0.01703721,0.071967,0.0373946,-0.01703721,0.067843,0.0092192,-0.0133183,0.088726,,0.076491721,,,,,,,,,,,,
111,,-0.7680517,-0.007596254,-2.775385,-0.782724,-0.007596254,-2.778504,-0.7579441,-0.01278472,-2.762242,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0180517,-0.007596254,0.074615,-0.032724,-0.007596254,0.071496,-0.0079441,-0.01278472,0.087758,,0.077142499,,,,,,,,,,,,
110,,-0.7203044,-0.007596254,-2.778634,-0.7030767,-0.007596254,-2.784904,-0.7201744,-0.01960588,-2.751637,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0296956,-0.007596254,0.071366,0.0469233,-0.007596254,0.065096,0.0298256,-0.01960588,0.098363,,0.077670057,,,,,,,,,,,,
104,,-0.7334332,-0.007596254,-2.774422,-0.7497936,-0.007596254,-2.771242,-0.7362451,-0.01335263,-2.7627,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0165668,-0.007596254,0.075578,0.0002064,-0.007596254,0.078758,0.0137549,-0.01335263,0.0873,,0.077744428,,,,,,,,,,,,
163,,-0.8080966,-0.01703721,-2.800782,-0.8192438,-0.01703721,-2.810819,-0.7949651,-0.01806474,-2.776027,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0580966,-0.01703721,0.049218,-0.0692438,-0.01703721,0.039181,-0.0449651,-0.01806474,0.073973,,0.078024951,,,,,,,,,,,,
165,,-0.817475,-0.007596254,-2.810824,-0.8290126,-0.007596254,-2.825072,-0.8041087,-0.02159834,-2.779146,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.067475,-0.007596254,0.039176,-0.0790126,-0.007596254,0.024928,-0.0541087,-0.02159834,0.070854,,0.078392204,,,,,,,,,,,,
154,,-0.7379164,-0.03015381,-2.77845,-0.7527704,-0.03015381,-2.776362,-0.7355316,-0.01829886,-2.756903,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0120836,-0.03015381,0.07155,-0.0027704,-0.03015381,0.073638,0.0144684,-0.01829886,0.093097,,0.078579057,,,,,,,,,,,,
95,,-0.7920932,-0.007596254,-2.782898,-0.7760584,-0.007596254,-2.77401,-0.7902485,-0.01955533,-2.772257,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0420932,-0.007596254,0.067102,-0.0260584,-0.007596254,0.07599,-0.0402485,-0.01955533,0.077743,,0.079575241,,,,,,,,,,,,
103,,-0.6865008,-0.007596254,-2.800361,-0.6739975,-0.007596254,-2.81377,-0.6978998,-0.01250529,-2.792293,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0634992,-0.007596254,0.049639,0.0760025,-0.007596254,0.03623,0.0521002,-0.01250529,0.057707,,0.080956049,,,,,,,,,,,,
82,,-0.7424328,-0.01703721,-2.771101,-0.7573757,-0.01703721,-2.769794,-0.7439945,-0.01102948,-2.763494,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0075672,-0.01703721,0.078899,-0.0073757,-0.01703721,0.080206,0.0060055,-0.01102948,0.086506,,0.081071458,,,,,,,,,,,,
171,,-0.6930383,-0.03015381,-2.800489,-0.7043589,-0.03015381,-2.790648,-0.69403,-0.03329492,-2.762523,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0569617,-0.03015381,0.049511,0.0456411,-0.03015381,0.059352,0.05597,-0.03329492,0.087477,,0.081272545,,,,,,,,,,,,
65,,-0.718885,-0.007596254,-2.774957,-0.7328887,-0.007596254,-2.769581,-0.7207999,-0.01123834,-2.773746,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.031115,-0.007596254,0.075043,0.0171113,-0.007596254,0.080419,0.0292001,-0.01123834,0.076254,,0.081592268,,,,,,,,,,,,
79,,-0.7880612,-0.01703721,-2.779288,-0.8030411,-0.01703721,-2.786594,-0.7845365,-0.02647948,-2.769778,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0380612,-0.01703721,0.070712,-0.0530411,-0.01703721,0.063406,-0.0345365,-0.02647948,0.080222,,0.082092073,,,,,,,,,,,,
166,,-0.831588,-0.007596254,-2.835852,-0.8378583,-0.007596254,-2.85308,-0.8094757,-0.007880926,-2.807216,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.081588,-0.007596254,0.014148,-0.0878583,-0.007596254,-0.00308,-0.0594757,-0.007880926,0.042784,,0.083153297,,,,,,,,,,,,
40,,-0.7217329,-0.007596254,-2.771455,-0.70755,-0.007596254,-2.776339,-0.7312375,-0.0173285,-2.761588,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0282671,-0.007596254,0.078545,0.04245,-0.007596254,0.073661,0.0187625,-0.0173285,0.088412,,0.083821531,,,,,,,,,,,,
142,,-0.6706823,-0.01703721,-2.827996,-0.6767833,-0.01703721,-2.814292,-0.6752367,-0.01185226,-2.797192,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0793177,-0.01703721,0.022004,0.0732167,-0.01703721,0.035708,0.0747633,-0.01185226,0.052808,,0.084057957,,,,,,,,,,,,
