Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,Start Time,Overlap Type,Polar Angle,Elevation Angle,,,,,,,,,,,,
153,,-0.7039902,-0.007596254,-2.78848,-0.6884426,-0.007596254,-2.798195,-0.7135016,-0.02230668,-2.764595,17:10:20,SmallOverlap(Clone) (UnityEngine.GameObject),1.012291,1.396263,,0.0460098,-0.007596254,0.06152,0.0615574,-0.007596254,0.051805,0.0364984,-0.02230668,0.085405,,0.077196601
157,,-0.781115,-0.01703721,-2.781341,-0.7639993,-0.01703721,-2.774771,-0.7812652,-0.01596928,-2.748297,17:10:33,SmallOverlap(Clone) (UnityEngine.GameObject),1.937315,1.308997,,-0.031115,-0.01703721,0.068659,-0.0139993,-0.01703721,0.075229,-0.0312652,-0.01596928,0.101703,,0.077281744
123,,-0.7394188,-0.007596254,-2.773771,-0.7228764,-0.007596254,-2.775802,-0.7290456,0.008336544,-2.756737,17:08:38,MediumOverlap(Clone) (UnityEngine.GameObject),1.448623,1.396263,,0.0105812,-0.007596254,0.076229,0.0271236,-0.007596254,0.074198,0.0209544,0.008336544,0.093263,,0.077333856
107,,-0.7001997,-0.007596254,-2.787633,-0.7152175,-0.007596254,-2.777117,-0.7046701,0.000915051,-2.752956,17:07:43,SmallOverlap(Clone) (UnityEngine.GameObject),0.9599311,1.396263,,0.0498003,-0.007596254,0.062367,0.0347825,-0.007596254,0.072883,0.0453299,0.000915051,0.097044,,0.080171165
92,,-0.6989661,-0.007596254,-2.787409,-0.6868308,-0.007596254,-2.796226,-0.717189,0.004463911,-2.773506,17:06:52,LargeOverlap(Clone) (UnityEngine.GameObject),0.9424778,1.396263,,0.0510339,-0.007596254,0.062591,0.0631692,-0.007596254,0.053774,0.032811,0.004463911,0.076494,,0.081115937
142,,-0.754544,-0.03015381,-2.774592,-0.7395646,-0.03015381,-2.773807,-0.7443674,-0.02840781,-2.758586,17:09:41,LargeOverlap(Clone) (UnityEngine.GameObject),1.623156,1.22173,,-0.004544,-0.03015381,0.075408,0.0104354,-0.03015381,0.076193,0.0056326,-0.02840781,0.091414,,0.081340437
113,,-0.8010339,-0.01703721,-2.788952,-0.8145176,-0.01703721,-2.798748,-0.79264,-0.01072669,-2.769271,17:08:04,MediumOverlap(Clone) (UnityEngine.GameObject),2.199115,1.308997,,-0.0510339,-0.01703721,0.061048,-0.0645176,-0.01703721,0.051252,-0.04264,-0.01072669,0.080729,,0.081373115
98,,-0.7866935,-0.01703721,-2.779387,-0.8017986,-0.01703721,-2.786431,-0.7976624,0.1263998,-2.758826,17:07:12,MediumOverlap(Clone) (UnityEngine.GameObject),2.007129,1.308997,,-0.0366935,-0.01703721,0.070613,-0.0517986,-0.01703721,0.063569,-0.0476624,0.1263998,0.091174,,0.08138105
101,,-0.8145229,-0.007596254,-2.800209,-0.8245598,-0.007596254,-2.811356,-0.805635,0.002352238,-2.787045,17:07:22,LargeOverlap(Clone) (UnityEngine.GameObject),2.408554,1.396263,,-0.0645229,-0.007596254,0.049791,-0.0745598,-0.007596254,0.038644,-0.055635,0.002352238,0.062955,,0.081853842
124,,-0.684473,-0.01703721,-2.803058,-0.6943139,-0.01703721,-2.791737,-0.6775774,-0.01732516,-2.789234,17:08:42,LargeOverlap(Clone) (UnityEngine.GameObject),0.715585,1.308997,,0.065527,-0.01703721,0.046942,0.0556861,-0.01703721,0.058263,0.0724226,-0.01732516,0.060766,,0.082386926
