7/1/2019 2:43:31 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-0.2693692	-0.01703721	-2.988091	-0.2643158	-0.01703721	-2.970467	-0.7379493	0.1388106	-2.885343	18:44:21	SmallOverlap(Clone) (UnityEngine.GameObject)	6.003932	1.308997	
2		-0.8609256	-0.007596254	-2.783722	-0.870368	-0.007596254	-2.799437	-0.8477893	-0.01360655	-2.77846	18:44:37	SmallOverlap(Clone) (UnityEngine.GameObject)	2.600541	1.396263	
3		-0.7880612	-0.03015381	-2.77242	-0.8030411	-0.03015381	-2.779726	-0.7817004	-0.03594708	-2.781725	18:44:41	MediumOverlap(Clone) (UnityEngine.GameObject)	2.024582	1.22173	
4		-0.6099167	-0.007596254	-2.752456	-0.6185204	-0.007596254	-2.740168	-0.6231565	-0.01157331	-2.753924	18:44:45	LargeOverlap(Clone) (UnityEngine.GameObject)	0.6108652	1.396263	
5		-0.7724717	-0.01703721	-2.934483	-0.7901804	-0.01703721	-2.929738	-0.7712926	-0.01404834	-2.917027	18:44:49	SmallOverlap(Clone) (UnityEngine.GameObject)	4.45059	1.308997	
6		-0.75	-0.01703721	-2.72128	-0.7666667	-0.01703721	-2.72128	-0.7404046	-0.01806116	-2.726207	18:44:52	MediumOverlap(Clone) (UnityEngine.GameObject)	1.570796	1.308997	
7		-0.673935	-0.007596254	-2.746081	-0.6860703	-0.007596254	-2.737264	-0.6808764	-0.003956556	-2.751438	18:44:56	LargeOverlap(Clone) (UnityEngine.GameObject)	0.9424778	1.396263	
8		-0.8352289	-0.03015381	-2.834281	-0.8323668	-0.03015381	-2.819557	-0.8229561	-0.02768159	-2.836261	18:44:59	LargeOverlap(Clone) (UnityEngine.GameObject)	2.949606	1.22173	
9		-0.6400768	-0.007596254	-2.719918	-0.6285862	-0.007596254	-2.72956	-0.6475545	-0.01000428	-2.723981	18:45:03	LargeOverlap(Clone) (UnityEngine.GameObject)	0.8726646	1.396263	
10		-0.6647711	-0.01703721	-2.867562	-0.6619089	-0.01703721	-2.852837	-0.6646684	-0.001531124	-2.860264	18:45:06	LargeOverlap(Clone) (UnityEngine.GameObject)	6.091199	1.308997	
11		-0.8147048	-0.01703721	-2.738997	-0.8276951	-0.01703721	-2.746497	-0.8022608	-0.02472019	-2.731766	18:45:10	LargeOverlap(Clone) (UnityEngine.GameObject)	2.094395	1.308997	
12		-0.6291858	-0.03015381	-2.804781	-0.623213	-0.03015381	-2.820341	-0.6180919	-0.02389598	-2.796929	18:45:14	MediumOverlap(Clone) (UnityEngine.GameObject)	0.3665192	1.22173	
13		-0.683181	-0.03015381	-3.008752	-0.6969886	-0.03015381	-3.014613	-0.6714096	-0.03399205	-3.002394	18:45:19	LargeOverlap(Clone) (UnityEngine.GameObject)	5.113815	1.22173	
14		-0.5864623	-0.03015381	-2.801474	-0.5918224	-0.03015381	-2.783942	-0.5996697	-0.03038573	-2.802323	18:45:27	SmallOverlap(Clone) (UnityEngine.GameObject)	0.296706	1.22173	
15		-0.9159303	-0.03015381	-2.892943	-0.9195592	-0.03015381	-2.878389	-0.9016368	-0.02901196	-2.882866	18:45:32	LargeOverlap(Clone) (UnityEngine.GameObject)	3.385939	1.22173	
16		-0.5883068	-0.03015381	-2.795988	-0.5937329	-0.03015381	-2.78023	-0.5927399	-0.02383375	-2.80099	18:45:37	MediumOverlap(Clone) (UnityEngine.GameObject)	0.3316126	1.22173	
17		-0.75	-0.007596254	-3.02278	-0.7683333	-0.007596254	-3.02278	-0.7523797	-0.01706505	-3.009271	18:45:41	SmallOverlap(Clone) (UnityEngine.GameObject)	4.712389	1.396263	
