7/1/2019 2:24:48 PM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		-0.6977358	-0.007596254	-3.347407	-0.679503	-0.007596254	-3.345491	-0.7732353	0.143357	-2.873093	18:26:47	SmallOverlap(Clone) (UnityEngine.GameObject)	4.817109	1.396263	
2		-0.8251919	-0.007596254	-2.806829	-0.8176919	-0.007596254	-2.793839	-0.8134147	0.001999378	-2.815993	18:26:56	LargeOverlap(Clone) (UnityEngine.GameObject)	2.617994	1.396263	
3		-0.6665393	-0.03015381	-2.826381	-0.6715927	-0.03015381	-2.808758	-0.671222	-0.007621288	-2.825635	18:27:00	SmallOverlap(Clone) (UnityEngine.GameObject)	0.2792527	1.22173	
4		-0.9062255	-0.03015381	-2.919949	-0.8994465	-0.03015381	-2.935174	-0.8992482	-0.01109219	-2.909918	18:27:04	MediumOverlap(Clone) (UnityEngine.GameObject)	3.560472	1.22173	
5		-0.6134253	-0.007596254	-2.953381	-0.603395	-0.007596254	-2.94007	-0.6275316	-0.01203585	-2.952928	18:27:07	MediumOverlap(Clone) (UnityEngine.GameObject)	5.637414	1.396263	
6		-0.7880612	-0.03015381	-2.772498	-0.7715833	-0.03015381	-2.764461	-0.8070647	-0.02366638	-2.763354	18:27:10	SmallOverlap(Clone) (UnityEngine.GameObject)	2.024582	1.22173	
7		-0.5925844	-0.01703721	-2.783788	-0.5860722	-0.01703721	-2.799129	-0.6064363	-0.01450801	-2.797811	18:27:14	MediumOverlap(Clone) (UnityEngine.GameObject)	0.4014257	1.308997	
8		-0.718693	-0.01703721	-2.976243	-0.7025214	-0.01703721	-2.972211	-0.722887	0.006664515	-2.97419	18:27:17	MediumOverlap(Clone) (UnityEngine.GameObject)	4.956735	1.308997	
9		-0.7791108	-0.007596254	-2.976841	-0.7969743	-0.007596254	-2.972717	-0.7728506	-0.00791049	-2.954283	18:27:20	SmallOverlap(Clone) (UnityEngine.GameObject)	4.485496	1.396263	
10		-0.7394188	-0.03015381	-2.764641	-0.7559612	-0.03015381	-2.76261	-0.725677	-0.02047443	-2.768332	18:27:24	MediumOverlap(Clone) (UnityEngine.GameObject)	1.448623	1.22173	
11		-0.581588	-0.01703721	-2.880584	-0.5789832	-0.01703721	-2.865811	-0.5985576	-0.0213697	-2.88438	18:27:27	LargeOverlap(Clone) (UnityEngine.GameObject)	6.108652	1.308997	
