7/1/2019 10:20:02 AM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		0.8372159	0.2424037	-1.622849	0.8025469	0.2424037	-1.610912	1.002243	0.3994258	-1.110966	14:20:56	SmallOverlap(Clone) (UnityEngine.GameObject)	4.380776	1.396263	
2		0.9306592	0.2198462	-1.097933	0.9126047	0.2198462	-1.121892	0.9378659	0.2261373	-1.103847	14:21:03	LargeOverlap(Clone) (UnityEngine.GameObject)	2.495821	1.22173	
3		0.8403484	0.2329628	-1.088995	0.8272082	0.2329628	-1.123227	0.8561027	0.2054466	-1.087464	14:21:07	SmallOverlap(Clone) (UnityEngine.GameObject)	2.775074	1.308997	
4		1.046376	0.2329628	-1.02956	1.015257	0.2329628	-1.017614	1.031745	0.235548	-1.056192	14:21:12	MediumOverlap(Clone) (UnityEngine.GameObject)	1.204277	1.308997	
5		1.01801	0.2424037	-1.278616	1.05432	0.2424037	-1.273513	1.032365	0.2500848	-1.262992	14:21:16	SmallOverlap(Clone) (UnityEngine.GameObject)	4.852015	1.396263	
6		1.007567	0.2198462	-1.064068	1.040774	0.2198462	-1.066974	1.004818	0.2377012	-1.082775	14:21:20	MediumOverlap(Clone) (UnityEngine.GameObject)	1.48353	1.22173	
7		1.095628	0.2198462	-1.00888	1.123262	0.2198462	-1.02752	1.079697	0.2380061	-1.007529	14:21:24	MediumOverlap(Clone) (UnityEngine.GameObject)	0.9773844	1.22173	
8		1.163538	0.2198462	-1.200747	1.153792	0.2198462	-1.232624	1.153334	0.2490339	-1.198077	14:21:29	MediumOverlap(Clone) (UnityEngine.GameObject)	5.986479	1.22173	
9		1.00895	0.2424037	-1.32162	0.9756624	0.2424037	-1.323364	1.013615	0.2443333	-1.290826	14:21:33	MediumOverlap(Clone) (UnityEngine.GameObject)	4.764749	1.396263	
10		1.048551	0.2329628	-1.222916	1.018153	0.2329628	-1.24342	1.048841	0.2517619	-1.19542	14:21:38	SmallOverlap(Clone) (UnityEngine.GameObject)	5.305801	1.308997	
11		0.9203275	0.2329628	-1.253023	0.9439679	0.2329628	-1.271493	0.9418086	0.2261603	-1.23753	14:21:42	LargeOverlap(Clone) (UnityEngine.GameObject)	4.049164	1.308997	
12		1.115305	0.2198462	-1.209891	1.101685	0.2198462	-1.236621	1.105693	0.2317852	-1.197738	14:21:47	LargeOverlap(Clone) (UnityEngine.GameObject)	5.811946	1.22173	
13		0.9791591	0.2329628	-0.9814945	1.008935	0.2329628	-0.9778384	0.9742889	0.2321824	-0.995838	14:21:51	LargeOverlap(Clone) (UnityEngine.GameObject)	1.692969	1.308997	
14		1.089895	0.2329628	-1.244429	1.116271	0.2329628	-1.218958	1.079398	0.2414513	-1.219938	14:21:56	SmallOverlap(Clone) (UnityEngine.GameObject)	5.480334	1.308997	
15		1	0.2198462	-1.280842	0.9633333	0.2198462	-1.280842	0.9964529	0.2286353	-1.250802	14:22:01	SmallOverlap(Clone) (UnityEngine.GameObject)	4.712389	1.22173	
