7/1/2019 10:03:12 AM	The file contains end point data for each trial
The coordinate system is in Unity world coordinates.
-------------------------------------------------
Trial Number	Target Position X	Target Position Y	Target Position Z	Penalty Position X	Penalty Position Y	Penalty Position Z	Collision Position X	Collision Position Y	Collision Position Z	Start Time	Overlap Type	Polar Angle	Elevation Angle	
1		0.7350403	0.2424037	-1.574166	0.7633086	0.2424037	-1.59183	0.9775397	0.3984743	-1.102953	14:03:47	MediumOverlap(Clone) (UnityEngine.GameObject)	4.153883	1.396263	
2		0.9396869	0.2424037	-1.212756	0.9157089	0.2424037	-1.1896	0.9567221	0.2382106	-1.189501	14:03:58	MediumOverlap(Clone) (UnityEngine.GameObject)	3.944444	1.396263	
3		0.9849231	0.2198462	-1.064887	0.9520962	0.2198462	-1.070675	0.9944227	0.2416573	-1.081756	14:04:03	MediumOverlap(Clone) (UnityEngine.GameObject)	1.745329	1.22173	
4		1.112193	0.2329628	-1.279523	1.087036	0.2329628	-1.301392	1.098609	0.2263272	-1.251549	14:04:07	MediumOverlap(Clone) (UnityEngine.GameObject)	5.427974	1.308997	
5		1.052636	0.2424037	-1.032368	1.025229	0.2424037	-1.020166	1.059275	0.2349373	-1.056945	14:04:14	LargeOverlap(Clone) (UnityEngine.GameObject)	1.151917	1.396263	
6		1.070242	0.2329628	-1.099655	1.050649	0.2329628	-1.072688	1.062096	0.2520999	-1.116316	14:04:20	MediumOverlap(Clone) (UnityEngine.GameObject)	0.6283185	1.308997	
7		0.9023334	0.2424037	-1.235703	0.924202	0.2424037	-1.26086	0.9183518	0.2316875	-1.212085	14:04:25	MediumOverlap(Clone) (UnityEngine.GameObject)	3.857178	1.396263	
8		1.016567	0.2198462	-1.236172	1.046016	0.2198462	-1.230448	1.004723	0.2263681	-1.216983	14:04:30	LargeOverlap(Clone) (UnityEngine.GameObject)	4.904375	1.22173	
9		0.947155	0.2198462	-0.9884153	0.9788569	0.2198462	-0.9781147	0.946962	0.2185941	-1.010668	14:04:36	MediumOverlap(Clone) (UnityEngine.GameObject)	1.884956	1.22173	
10		1.005968	0.2424037	-1.322086	1.042612	0.2424037	-1.320807	0.9999653	0.2307707	-1.29664	14:04:42	SmallOverlap(Clone) (UnityEngine.GameObject)	4.747295	1.396263	
